,J,Location,pvalue05,pvaluebest,AUC,AccuracyTrain,AccuracyTest,RecallTest
12504,145,SalmonGums,1.0,0.5978496313775503,2,0.7056872037914692,0.6438095238095238,0.3191489361702128
12505,145,PearceRAAF,0.8822608649312325,3.5219535741520452e-06,2,0.6949429037520392,0.6152125279642058,0.686046511627907
12506,145,BadgerysCreek,1.0,0.02201299584838509,2,0.5855,0.5549828178694158,0.5752212389380531
12507,145,WaggaWagga,1.0,0.015858754915457365,2,0.6398324802233597,0.5611111111111111,0.5779816513761468
12508,145,PerthAirport,0.059094823358116645,1.9342548283531993e-10,2,0.7005960568546539,0.6637010676156584,0.6511627906976745
12509,145,Moree,1.0,1.0,2,0.8449531737773153,0.7714285714285715,0.10843373493975904
12510,145,Nuriootpa,1.0,7.168292414065504e-05,2,0.6705229060620084,0.631578947368421,0.5636363636363636
12511,145,Nhil,1.0,0.0036360630267628603,2,0.697463768115942,0.6606498194945848,0.5714285714285714
12512,146,Canberra,1.0,6.643886929374833e-05,2,0.6645392899880335,0.6206349206349207,0.5803571428571429
12513,146,Perth,0.034632414556843114,7.455501396944966e-13,2,0.67590618336887,0.6649484536082474,0.7403846153846154
12514,146,Adelaide,1.0,7.034478470791843e-06,2,0.6193029490616622,0.6046511627906976,0.6495726495726496
12515,146,Albury,0.06419637536647547,0.011003951186578006,2,0.6183552930486143,0.5697896749521989,0.5714285714285714
12516,146,Bendigo,1.0,0.017695719044691003,2,0.6906151773686574,0.6360225140712945,0.45454545454545453
12517,146,Penrith,0.40556541850853234,0.008163607644564733,2,0.6442536957558417,0.5864661654135338,0.5625
12518,146,Tuggeranong,1.0,0.0004856968373411269,2,0.6672802577082375,0.6266924564796905,0.5578947368421052
12519,146,Richmond,1.0,0.015855616553975514,2,0.694696607740086,0.6026119402985075,0.5287356321839081
12520,146,SalmonGums,1.0,0.07771196188326947,2,0.6998087954110899,0.6777163904235728,0.36470588235294116
12521,146,PearceRAAF,1.0,5.164522562606797e-09,2,0.7011494252873564,0.6534446764091858,0.7093023255813954
12522,146,BadgerysCreek,1.0,3.1829998699758473e-07,2,0.6566000974184121,0.6320754716981132,0.6410256410256411
12523,146,WaggaWagga,1.0,0.0001898330583317502,2,0.6883356385431074,0.6238003838771593,0.5757575757575758
12524,146,PerthAirport,1.0,8.90614427715681e-12,2,0.7073616826703246,0.685251798561151,0.6608695652173913
12525,146,Moree,1.0,1.0,2,0.8457201435161456,0.7988165680473372,0.08108108108108109
12526,146,Nuriootpa,1.0,0.00044145750000913,2,0.7171204430087679,0.6347517730496454,0.5277777777777778
12527,146,Nhil,1.0,0.00789569856342217,2,0.7312614259597806,0.6968641114982579,0.4878048780487805
12528,147,Canberra,1.0,0.0019516740385638741,2,0.6848823294774631,0.638095238095238,0.5104166666666666
12529,147,Perth,1.0,2.7076924727903994e-10,2,0.6662404092071611,0.6419965576592083,0.7169811320754716
12530,147,Adelaide,0.4645744927900236,5.394203112138094e-06,2,0.6273984828201695,0.5957446808510638,0.6792452830188679
12531,147,Albury,1.0,0.0005850290803664757,2,0.6261343012704175,0.5777351247600768,0.6285714285714286
12532,147,Bendigo,1.0,4.241294680021591e-06,2,0.6835902085222122,0.6859205776173285,0.5094339622641509
12533,147,Penrith,1.0,0.019209890150406334,2,0.6306306306306306,0.5846153846153846,0.5321100917431193
12534,147,Tuggeranong,1.0,0.2111566135838799,2,0.6753782668500687,0.6062992125984252,0.4367816091954023
12535,147,Richmond,1.0,1.302856884540599e-06,2,0.7136648961854176,0.6750448833034112,0.5350877192982456
12536,147,SalmonGums,1.0,0.958513912610531,2,0.7112576542628356,0.703125,0.2236842105263158
12537,147,PearceRAAF,0.036673391823973396,5.796882644891879e-08,2,0.7027463651050081,0.6709401709401709,0.6470588235294118
12538,147,BadgerysCreek,1.0,0.00777699945053683,2,0.633954857703631,0.5543278084714549,0.6145833333333334
12539,147,WaggaWagga,1.0,0.012268144503637755,2,0.6663598711458812,0.5957446808510638,0.5288461538461539
12540,147,PerthAirport,0.8872742418735287,3.0149048512767306e-08,2,0.6919622810956444,0.6608527131782945,0.6296296296296297
12541,147,Moree,1.0,0.8952712677165723,2,0.8408141962421712,0.8087431693989071,0.09859154929577464
12542,147,Nuriootpa,1.0,5.349997802912096e-06,2,0.6993494423791822,0.6856649395509499,0.4793388429752066
12543,147,Nhil,1.0,0.07753177889618279,2,0.7344322344322345,0.6678200692041523,0.4418604651162791
12544,148,Canberra,1.0,0.009334329557429697,2,0.707618667730355,0.6206349206349207,0.4827586206896552
12545,148,Perth,0.0014208307244450667,1.55898970385535e-11,2,0.6537313432835821,0.6443298969072165,0.7551020408163265
12546,148,Adelaide,0.1230147639942633,5.640429891180844e-10,2,0.6201966041108132,0.622093023255814,0.75
12547,148,Albury,1.0,0.01375173307031638,2,0.5671981776765376,0.5500945179584121,0.6018518518518519
12548,148,Bendigo,1.0,0.01098387956537802,2,0.6766280107047279,0.6023166023166023,0.5411764705882353
12549,148,Penrith,1.0,0.019068454799271255,2,0.6131491186279181,0.5633270321361059,0.5789473684210527
12550,148,Tuggeranong,1.0,0.050621800312024054,2,0.6712454212454212,0.6067193675889329,0.46296296296296297
12551,148,Richmond,1.0,0.0007610384590932351,2,0.6604850213980028,0.6152380952380953,0.5576923076923077
12552,148,SalmonGums,1.0,0.004351169008597409,2,0.6602870813397129,0.6477064220183486,0.4939759036144578
12553,148,PearceRAAF,0.3311774218469848,1.6332436012425909e-09,2,0.6908893709327549,0.6572668112798264,0.7209302325581395
12554,148,BadgerysCreek,1.0,0.24061499575038015,2,0.5997067448680352,0.5083798882681564,0.5779816513761468
12555,148,WaggaWagga,1.0,0.03260291385131643,2,0.6133640552995392,0.5703275529865125,0.5520833333333334
12556,148,PerthAirport,0.059966883404449646,3.154499809015095e-11,2,0.7064220183486238,0.6838365896980462,0.6440677966101694
12557,148,Moree,1.0,0.3775908011809155,2,0.8173374613003096,0.7895752895752896,0.16923076923076924
12558,148,Nuriootpa,0.4536731940843993,0.00010627428953393279,2,0.6949231485794132,0.6455479452054794,0.5213675213675214
12559,148,Nhil,1.0,0.01890335478378753,2,0.7472426470588235,0.7098976109215017,0.39215686274509803
12560,149,Canberra,1.0,0.0085633318947986,2,0.5633971291866029,0.48171701112877585,0.7075471698113207
12561,149,Perth,0.9860581869143838,9.437670910439389e-09,2,0.6599829351535836,0.6209262435677531,0.7263157894736842
12562,149,Adelaide,1.0,4.6338620070880544e-08,2,0.5963179164795689,0.5915221579961464,0.7419354838709677
12563,149,Albury,1.0,0.001327027605224269,2,0.5391621129326047,0.5416666666666666,0.6697247706422018
12564,149,Bendigo,1.0,0.0012527727878229127,2,0.5802524797114518,0.544280442804428,0.6701030927835051
12565,149,Penrith,0.45749716601565804,0.13494469062354186,2,0.4784037558685446,0.39,0.7920792079207921
12566,149,Tuggeranong,0.46121904947785364,0.00392753325491806,2,0.5507312614259597,0.47704590818363274,0.7549019607843137
12567,149,Richmond,0.4580154548345087,0.00026986419034803516,2,0.5415266442630821,0.5110294117647058,0.7454545454545455
12568,149,SalmonGums,1.0,0.15670573588632053,2,0.6558161799904261,0.5989010989010989,0.45
12569,149,PearceRAAF,0.06717418954304616,9.007269152860201e-05,2,0.681994459833795,0.629399585921325,0.5955056179775281
12570,149,BadgerysCreek,1.0,0.034826545135507724,2,0.4742468415937804,0.42829827915869984,0.7676767676767676
12571,149,WaggaWagga,0.4747552414751146,0.004857038675366544,2,0.5511811023622047,0.5150943396226415,0.6846846846846847
12572,149,PerthAirport,0.017665299302098116,5.135222992788313e-06,2,0.6799086757990868,0.6256781193490054,0.6226415094339622
12573,149,Moree,1.0,0.01350506262630563,2,0.8099476439790576,0.776735459662289,0.2753623188405797
12574,149,Nuriootpa,1.0,6.438051496567654e-05,2,0.6216091954022989,0.5881294964028777,0.6403508771929824
