,J,seuil,pvalue05,pvaluebest,AUC,AccuracyTrain,AccuracyTest,RecallTest
27,14.0,0.0,1.480244372349244e-98,1.8908253056494e-278,0.6847729659071963,0.7884634295041989,0.7780050346129641,0.06638714185883997
28,15.0,1.0,2.1227595144078635e-94,1.6663567300486688e-261,0.6806391077967661,0.6731707798033977,0.6323946994794132,0.6213319276049903
29,15.0,0.0,2.1227595144078635e-94,1.6663567300486688e-261,0.6806391077967661,0.7888940378415152,0.7786717147815113,0.06273062730627306
30,16.0,1.0,6.925237399850801e-110,6.33324431920493e-273,0.6827178340971274,0.700423192532827,0.6567789906660338,0.5788546255506608
31,16.0,0.0,6.925237399850801e-110,6.33324431920493e-273,0.6827178340971274,0.7885421610504667,0.7794652744818857,0.07083700440528634
32,17.0,1.0,1.1808967240514218e-99,1.1289136914342823e-260,0.6800189992897319,0.6644353121750755,0.6216976274408841,0.6427690681698079
33,17.0,0.0,1.1808967240514218e-99,1.1289136914342823e-260,0.6800189992897319,0.7895925137396643,0.7781518596268864,0.06887440549586049
34,18.0,1.0,5.786206560628709e-123,2.3945352031894848e-296,0.6892928501043305,0.6527739223539676,0.6181544196375461,0.6750705218617772
35,18.0,0.0,5.786206560628709e-123,2.3945352031894848e-296,0.6892928501043305,0.7891799183090772,0.7802672800095174,0.07263751763046544
36,19.0,1.0,1.148913737855778e-109,6.654063473146119e-270,0.6832284224628636,0.6684690941561663,0.6287006905309945,0.6357545839210155
37,19.0,0.0,1.148913737855778e-109,6.654063473146119e-270,0.6832284224628636,0.7899394781228296,0.7786332248591158,0.07281382228490832
38,20.0,1.0,5.507780516789451e-97,2.0584434255786156e-256,0.6806046244427756,0.6631262644293705,0.6220547401824673,0.6388253912431863
39,20.0,0.0,5.507780516789451e-97,2.0584434255786156e-256,0.6806046244427756,0.7886270776310048,0.7776279254264181,0.0654123439423246
40,21.0,1.0,8.021828291883808e-94,2.7972872503131347e-239,0.6785000962468829,0.6292748708490744,0.5906873438305636,0.6859954313828852
41,21.0,0.0,8.021828291883808e-94,2.7972872503131347e-239,0.6785000962468829,0.7876074605110509,0.7765041843493435,0.06975926902126164
42,22.0,1.0,6.488905822849219e-92,1.5178865875085922e-262,0.681325675434409,0.6384596273291926,0.5976467782326986,0.690677966101695
43,22.0,0.0,6.488905822849219e-92,1.5178865875085922e-262,0.681325675434409,0.7883925465838509,0.777278689827881,0.06656073446327683
44,23.0,1.0,3.0491875886171295e-84,1.6253466176746546e-263,0.6823177336590842,0.6562693081936499,0.6150595926176904,0.6592645230058625
45,23.0,0.0,3.0491875886171295e-84,1.6253466176746546e-263,0.6823177336590842,0.7892193012177865,0.7776139036154184,0.06253330964647362
46,24.0,1.0,2.130903097645149e-85,1.0046867341430437e-262,0.6833019475799431,0.6553321024003194,0.6158728891372909,0.6570871030690083
